country_code,country
AG,Solomon Islands
AI,Indonesia
AN,Nauru
AY,Papua New Guinea
BG,Greenland
BI,Iceland
BK,Kosovo
CY,Canada
CZ,Canada
DA,Algeria
DB,Benin
DF,Burkina Faso
DG,Ghana
DI,Ivory Coast
DN,Nigeria
DR,Niger
DT,Tunisia
DX,Togo
EB,Belgium
ED,Germany
EE,Estonia
EF,Finland
EG,United Kingdom
EH,Netherlands
EI,Republic of Ireland
EK,Denmark
EL,Luxembourg
EN,Norway
EP,Poland
ES,Sweden
ET,Germany
EV,Latvia
EY,Lithuania
FA,South Africa
FB,Botswana
FC,Republic of the Congo
FD,Eswatini
FE,Central African Republic
FG,Equatorial Guinea
FH,Saint Helena
FI,Mauritius
FJ,British Indian Ocean Territory
FK,Cameroon
FL,Zambia
FM,Madagascar
FN,Angola
FO,Gabon
FP,S?o Tom? and Pr?ncipe
FQ,Mozambique
FS,Seychelles
FT,Chad
FV,Zimbabwe
FW,Malawi
FX,Lesotho
FY,Namibia
FZ,Democratic Republic of the Congo
GA,Mali
GB,The Gambia
GC,Canary Islands
GE,Ceuta and Melilla
GF,Sierra Leone
GG,Guinea-Bissau
GL,Liberia
GM,Morocco
GO,Senegal
GQ,Mauritania
GS,Western Sahara
GU,Guinea
GV,Cape Verde
HA,Ethiopia
HB,Burundi
HC,Somalia
HD,Djibouti
HE,Egypt
HH,Eritrea
HJ,South Sudan
HK,Kenya
HL,Libya
HR,Rwanda
HS,Sudan
HT,Tanzania
HU,Uganda
KA,United States
KB,United States
KC,United States
KD,United States
KE,United States
KF,United States
KG,United States
KH,United States
KI,United States
KJ,United States
KK,United States
KL,United States
KM,United States
KN,United States
KO,United States
KP,United States
KQ,United States
KR,United States
KS,United States
KT,United States
KU,United States
KV,United States
KW,United States
KX,United States
KY,United States
KZ,United States
LA,Albania
LB,Bulgaria
LC,Cyprus
LD,Croatia
LE,Spain
LF,France
LG,Greece
LH,Hungary
LI,Italy
LJ,Slovenia
LK,Czech Republic
LL,Israel
LM,Malta
LN,Monaco
LO,Austria
LP,Portugal
LQ,Bosnia and Herzegovina
LR,Romania
LS,Switzerland
LT,Turkey
LU,Moldova
LV,Palestine
LW,North Macedonia
LX,Gibraltar
LY,Serbia
LZ,Slovakia
MB,Turks and Caicos Islands
MD,Dominican Republic
MG,Guatemala
MH,Honduras
MK,Jamaica
MM,Mexico
MN,Nicaragua
MP,Panama
MR,Costa Rica
MS,El Salvador
MT,Haiti
MU,Cuba
MW,Cayman Islands
MY,Bahamas
MZ,Belize
NC,Cook Islands
NF,Fiji
NG,Kiribati
NI,Niue
NL,Wallis and Futuna
NS,Samoa
NT,French Polynesia
NV,Vanuatu
NW,New Caledonia
NZ,New Zealand
OA,Afghanistan
OB,Bahrain
OE,Saudi Arabia
OI,Iran
OJ,Jordan
OK,Kuwait
OL,Lebanon
OM,United Arab Emirates
OO,Oman
OP,Pakistan
OR,Iraq
OS,Syria
OT,Qatar
OY,Yemen
PA,Alaska
PC,Kiribati
PF,Alaska
PG,Mariana Islands
PH,Hawaii
PJ,Johnston Atoll
PK,Marshall Islands
PL,Line Islands
PM,Midway Atoll
PO,Alaska
PP,Alaska
PT,Caroline Islands
PW,Wake Island
RC,Taiwan
RJ,Japan
RK,South Korea
RO,Japan
RP,Philippines
SA,Argentina
SB,Brazil
SC,Chile
SD,Brazil
SE,Ecuador
SF,Falkland Islands
SG,Paraguay
SI,Brazil
SJ,Brazil
SK,Colombia
SL,Bolivia
SM,Suriname
SN,Brazil
SO,French Guiana
SP,Peru
SS,Brazil
SU,Uruguay
SV,Venezuela
SW,Brazil
SY,Guyana
TA,Antigua and Barbuda
TB,Barbados
TD,Dominica
TF,Guadeloupe
TG,Grenada
TI,U.S Virgin Islands
TJ,Puerto Rico
TK,Saint Kitts and Nevis
TL,Saint Lucia
TN,Caribbean Netherlands
TQ,Anguilla
TR,Montserrat
TT,Trinidad and Tobago
TU,British Virgin Islands
TV,The Grenadines
TX,Bermuda
UA,Kazakhstan
UB,Azerbaijan
UC,Kyrgyzstan
UD,Armenia
UE,Russia
UG,Georgia
UH,Russia
UI,Russia
UK,Ukraine
UL,Russia
UM,Russia
UM,Belarus
UN,Russia
UO,Russia
UR,Russia
US,Russia
UT,Uzbekistan
UU,Russia
UW,Russia
VA,India
VC,Sri Lanka
VD,Cambodia
VE,India
VG,Bangladesh
VH,Hong Kong
VI,India
VL,Laos
VM,Macau
VN,Nepal
VO,India
VQ,Bhutan
VR,Maldives
VT,Thailand
VV,Vietnam
VY,Myanmar
WA,Indonesia
WB,Malaysia
WM,Malaysia
WP,East Timor
WQ,Indonesia
WR,Indonesia
WS,Singapore
YA,Australia
YB,Australia
YC,Australia
YD,Australia
YE,Australia
YF,Australia
YG,Australia
YH,Australia
YI,Australia
YJ,Australia
YK,Australia
YL,Australia
YM,Australia
YN,Australia
YO,Australia
YP,Australia
YQ,Australia
YR,Australia
YS,Australia
YT,Australia
YU,Australia
YV,Australia
YW,Australia
YX,Australia
YY,Australia
YZ,Australia
ZB,China
ZG,China
ZH,China
ZK,North Korea
ZL,China
ZM,Mongolia
ZP,China
ZS,China
ZU,China
ZW,China
ZY,China
