aircraft_icao,Pax
A19N,160
A20N,180
A21N,200
A306,345
A30B,280
A310,230
A318,132
A319,156
A320,170
A321,200
A332,406
A333,440
A337,287
A338,406
A339,440
A342,261
A343,475
A345,313
A346,475
A359,369
A35K,350
A388,520
BCS1,130
BCS3,160
A148,85
A158,99
A140,52
B37M,138
B38M,210
B39M,220
B3XM,232
B703,219
B712,134
B720,156
B721,129
B722,155
B732,136
B733,149
B734,168
B735,138
B736,215
B738,165
B737,149
B739,215
B741,366
B742,366
B743,660
B744,660
B748,467
B752,239
B753,289
B762,216
B763,269
B764,375
B772,312
B773,388
B778,375
B779,425
B77L,312
B77W,388
B788,242
B789,290
B78X,344
C919,192
AJ27,95
C929,350
E110,21
E120,30
E135,40
E145,42
E170,72
E190,98
E195,132
E290,120
E295,132
E35L,13
E50P,4
E545,9
E550,12
E55P,9
E75L,78
E75S,88
I114,64
IL18,122
IL62,198
IL76,90
IL86,605
IL96,436
SU95,98
T134,84
T154,128
T204,142
CL30,8
GL5T,19
GLEX,19
ATP,64
H25B,6
H25C,6
JS31,19
JS32,19
JS41,29
DC85,269
DC86,259
DC87,269
J328,30
F100,109
F70,80
DC91,135
DC92,135
DC93,135
DC94,135
DC95,135
MD11,298
MD81,155
MD82,161
MD83,172
MD87,114
MD88,155
MD90,172
YK40,32
YK42,120
